x1,x2,y
50.150240255946,32.874190572583,REJECT
44.871862121289,97.022067606365,REJECT
57.1829920744889,81.7087159897648,REJECT
93.2918096691443,23.513135674829,ACCEPT
5.61608299535031,44.3690289599009,REJECT
72.3799487034285,18.7259794536575,ACCEPT
99.5851236250595,75.0732892974837,ACCEPT
29.7005854319841,17.7959515098266,REJECT
30.7044827171706,34.5758275112507,REJECT
18.5940456600048,85.8988466487668,REJECT
28.6960115031282,3.90996755020871,REJECT
77.3553852561182,21.782433509803,ACCEPT
15.9637578546478,58.8074250860035,REJECT
57.977890295233,9.76275691192457,ACCEPT
39.0316575073,16.3296739270542,REJECT
29.352539410841,30.6095647674301,REJECT
66.3532856150569,42.7692167040934,ACCEPT
45.8960527750531,47.0777285709254,REJECT
34.0056899514815,89.6026107597695,REJECT
52.7320192779934,43.9068705101727,REJECT
31.5798158534681,74.0267946925328,REJECT
36.0978015424579,88.204743517011,REJECT
88.6608438981543,87.0610983975355,ACCEPT
64.1575496732004,24.8383239452871,ACCEPT
5.9788303132615,27.751264822218,REJECT
58.115689588928,73.904450721503,ACCEPT
74.2274182464425,1.04440978318272,ACCEPT
65.8009916612373,57.8212929565878,ACCEPT
83.3319313549729,12.9026094919884,ACCEPT
63.3968489381718,27.5009348976727,ACCEPT
18.9196727527709,90.911576341864,REJECT
11.0682529282198,20.8295707490924,REJECT
1.84746770755846,42.9400033795001,REJECT
32.5265428521581,99.7409552529565,REJECT
23.9301275591157,77.0622157355946,REJECT
69.2316823931591,81.0290493236657,ACCEPT
53.9430847160519,57.3246787658233,REJECT
88.1762041532661,41.0902674833308,ACCEPT
84.6061129366416,22.1528491389104,ACCEPT
96.0866751365153,61.2544097609051,ACCEPT
4.84031696055677,43.8151615736434,REJECT
46.5173721171419,93.7021789420213,REJECT
66.3894995068928,97.4934439004804,ACCEPT
54.0034103036664,86.6930750312824,REJECT
97.4784958054447,11.7828348272616,ACCEPT
3.03987570865266,54.2917758742276,REJECT
71.6690622079964,30.5106506330484,ACCEPT
0.471978198907149,99.1272647032261,REJECT
35.3711706289156,58.5315551368562,REJECT
44.4144989037673,74.3246283105043,REJECT
23.5501574288325,4.82213746153339,REJECT
80.4890610944499,45.5275764827575,ACCEPT
13.4858886884436,78.8165445805318,REJECT
17.7121253705263,24.1818477347732,REJECT
80.6980173053666,86.5228872211116,ACCEPT
